=================================================================
         REPORTE DE HORAS EXTRA - EMPRESA ANDINA TEXTIL
   (Ordenado por: Clasificacion -> Horas -> Area, ascendente)
=================================================================
CODIGO    AREA    HORAS     PAGO (S/)    CLASIFICACION
-----------------------------------------------------------------
500164    B       10.06     78.47        EXCESO       
702177    C       10.07     92.64        EXCESO       
138744    C       10.11     93.01        EXCESO       
632840    B       10.16     79.25        EXCESO       
401924    A       10.24     87.04        EXCESO       
447600    B       10.25     79.95        EXCESO       
532832    C       10.48     96.42        EXCESO       
380871    A       10.54     89.59        EXCESO       
395625    B       10.69     83.38        EXCESO       
769949    A       10.95     93.07        EXCESO       
761542    C       10.98     101.02       EXCESO       
624922    B       11.01     85.88        EXCESO       
832948    A       11.49     97.67        EXCESO       
955770    A       11.63     98.86        EXCESO       
961168    B       11.66     90.95        EXCESO       
470969    C       11.67     107.36       EXCESO       
956733    B       11.74     91.57        EXCESO       
649522    A       12.07     102.59       EXCESO       
816907    A       12.34     104.89       EXCESO       
257079    B       12.38     96.56        EXCESO       
306261    B       12.48     97.34        EXCESO       
513116    B       12.59     98.20        EXCESO       
967017    A       12.61     107.19       EXCESO       
318054    A       12.69     107.86       EXCESO       
972715    C       12.72     117.02       EXCESO       
188586    A       13.15     111.78       EXCESO       
350258    C       13.38     123.10       EXCESO       
511423    A       13.42     114.07       EXCESO       
226182    B       13.65     106.47       EXCESO       
712432    C       13.66     125.67       EXCESO       
739434    A       13.81     117.39       EXCESO       
803115    A       13.85     117.72       EXCESO       
647740    C       14.02     128.98       EXCESO       
796414    C       14.03     129.08       EXCESO       
762352    A       14.07     119.59       EXCESO       
650708    B       14.59     113.80       EXCESO       
640531    C       14.80     136.16       EXCESO       
948673    A       14.99     127.42       EXCESO       
861654    C       14.99     137.91       EXCESO       
225728    C       15.00     138.00       EXCESO       
717796    B       15.11     117.86       EXCESO       
542182    A       15.29     129.97       EXCESO       
914225    A       15.52     131.92       EXCESO       
601253    B       15.78     123.08       EXCESO       
575198    A       15.89     135.06       EXCESO       
467188    C       15.94     146.65       EXCESO       
578825    C       15.96     146.83       EXCESO       
674919    A       15.99     135.91       EXCESO       
442935    A       15.99     135.91       EXCESO       
333876    A       16.12     137.02       EXCESO       
491485    A       16.24     138.04       EXCESO       
118354    A       16.40     139.40       EXCESO       
916838    A       16.40     139.40       EXCESO       
748761    A       16.50     140.25       EXCESO       
246014    A       16.52     140.42       EXCESO       
889438    A       16.53     140.50       EXCESO       
945678    C       16.53     152.08       EXCESO       
460717    A       16.69     141.87       EXCESO       
774147    C       16.91     155.57       EXCESO       
872578    A       16.92     143.82       EXCESO       
997820    B       17.26     134.63       EXCESO       
744784    C       17.39     159.99       EXCESO       
158092    B       17.41     135.80       EXCESO       
259211    A       17.46     148.41       EXCESO       
656506    A       17.66     150.11       EXCESO       
571007    B       17.67     137.83       EXCESO       
233209    C       18.10     166.52       EXCESO       
739906    B       18.18     141.80       EXCESO       
835107    A       18.20     154.70       EXCESO       
539366    A       18.20     154.70       EXCESO       
571283    A       18.33     155.80       EXCESO       
